overall_rank,overall_rank_score,primary_rank,primary_rank_score,recommended_rank,recommended_rank_score,experiment,method,algorithm_family,n_episodes,seed,test_month,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,test_step_reward_mean,kpi_electricity_consumption,kpi_carbon_emissions,kpi_cost,kpi_ramping,kpi_daily_peak,kpi_all_time_peak,kpi_load_factor,secondary_cost_change_pct,secondary_cost_absolute,secondary_cost_baseline,secondary_carbon_emissions_change_pct,secondary_carbon_emissions_kgco2e,secondary_carbon_emissions_baseline_kgco2e,secondary_site_energy_change_pct,secondary_site_total_energy_kwh,secondary_site_total_energy_baseline_kwh,secondary_peak_demand_kw,secondary_peak_demand_baseline_kw,secondary_peak_demand_change_pct,secondary_peak_demand_time,secondary_peak_demand_baseline_time,secondary_system_ramping_kw,secondary_system_ramping_baseline_kw,secondary_peak_to_valley_ratio_pct,secondary_peak_to_valley_ratio_baseline_pct,secondary_load_factor_pct,secondary_load_factor_baseline_pct,secondary_fairness_gini,secondary_fairness_entropy,secondary_fairness_max_share_pct,fairness_rank_score,site_energy_rank_score,peak_demand_rank_score,peak_to_valley_ratio_rank_score,load_factor_rank_score,system_ramping_rank_score,train_load_cv_rmse_pct,train_load_nmbe_pct,train_comfort_exceedance_pct,train_reward_sum,wandb_run_id,wandb_started_at,wandb_runtime_seconds,wandb_program,result_dir,wandb_run_dir
4,19.1759,7,14.75,1,14.2625,rllib_independent_ppo_vt_80_final2,RLlib independent PPO,Independent PPO,80.0,42.0,2,49.7644,1.2449,1.2449,13.744,2309.0,92.36,314.0,-3833.2359,-5.7127,1.2681,,,0.979,1.1643,1.0459,0.8308,,0.0,0.0,,0.0,0.0,26.8114,72588.6488,71696.0824,256.3215,263.4027,-2.6884,D02 20:00,D03 09:00,372.0552,199.6006,1375.0445,214.6351,64.1065,72.8875,0.2888,0.954,13.6178,54.3333,19.0,12.0,38.0,3.0,2.0,,,,,ymjhdsaz,2026-04-24T06:16:20.110858Z,38670.0,-m rllib_independent_ppo.train,results/rllib_independent_ppo_vt_80_final2,wandb/run-20260424_141620-ymjhdsaz
7,21.2315,5,13.25,2,15.0375,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed3,MAPPO grouped tarmac hybrid agglomerative capacity load 3f linear vt 500 seed3,MAPPO,500.0,3.0,2,48.9069,-2.0135,2.0135,15.1548,2546.0,101.84,384.0,-4093.4604,-6.1005,1.2895,,,1.2018,1.1918,1.0591,0.9185,,0.0,0.0,,0.0,0.0,28.9492,69458.688,70886.0068,261.5826,267.2727,-2.129,D02 20:00,D03 09:00,456.0079,202.5172,1255.6935,215.0836,59.9417,72.5567,0.149,0.9888,6.8508,27.3333,26.0,21.0,35.0,34.0,8.0,37.80799641901201,4.376256965909128,10.026881720430108,-3200.36421918869,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed3,
5,19.2037,4,12.3333,3,15.15,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed0,MAPPO grouped tarmac hybrid agglomerative capacity load 5f linear vt 500 seed0,MAPPO,500.0,0.0,2,46.9277,-0.4901,0.4901,23.125,3885.0,155.4,427.0,-6121.4928,-9.1229,1.2934,,,1.3052,1.1974,1.045,0.9015,,0.0,0.0,,0.0,0.0,29.3436,70729.5085,71077.8711,259.1744,265.3202,-2.3164,D02 20:00,D03 09:00,492.5217,201.6298,759.0676,217.3709,60.8367,72.7695,0.1486,0.9893,6.5839,23.3333,29.0,16.5,16.0,24.0,27.0,35.1474963790117,0.7187154586107555,18.451612903225804,-5588.649898767471,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed0,
15,23.213,3,11.75,4,15.5625,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_no_capacity_vt_500_final,MAPPO grouped tarmac soft router twostage 3f expert freeze200 temp05 prior1 no capacity,MAPPO,500.0,42.0,2,46.9411,-0.5742,0.5742,19.5357,3282.0,131.28,584.0,-5271.7704,-7.8566,1.3028,,,1.3531,1.2038,1.0594,0.9047,,0.0,0.0,,0.0,0.0,30.2835,70551.5431,70959.0202,253.8854,260.3337,-2.4769,D02 20:00,D03 09:00,506.9418,200.1167,22049.8073,213.411,61.1813,73.302,0.1314,0.9914,6.5256,12.6667,37.0,12.0,55.0,20.0,37.0,35.19822410139904,3.6152059343608998,8.666666666666668,-2948.933879673481,,,,,results/mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_no_capacity_vt_500_final,
1,16.0648,6,13.5833,5,15.5875,mappo_grouped_powernet_global_vt_500_final2,MAPPO grouped powernet global,MAPPO,500.0,42.0,2,46.4515,0.4341,0.4341,25.9464,4359.0,174.36,442.0,-6911.5274,-10.3003,1.3021,,,1.2798,1.1654,1.0319,0.8449,,0.0,0.0,,0.0,0.0,30.211,71555.3139,71246.0395,251.7164,262.7222,-4.1891,D02 19:00,D03 09:00,478.2245,197.4809,565.2268,213.3102,63.9658,73.4827,0.166,0.9861,6.0983,29.3333,36.0,8.5,7.0,4.0,19.0,35.40354148610642,3.493335690679077,17.698924731182796,-5368.936598539352,29aaxpgi,2026-04-24T06:16:27.155931Z,30015.0,-m mappo_grouped_powernet_global.train,results/mappo_grouped_powernet_global_vt_500_final2,wandb/run-20260424_141627-29aaxpgi
3,18.0556,1,9.0,6,16.55,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,MAPPO grouped tarmac hybrid agglomerative capacity load 3f linear,MAPPO,500.0,42.0,2,44.6221,-0.574,0.574,20.0655,3371.0,134.84,493.0,-5202.0166,-7.7526,1.3013,,,1.2921,1.165,1.1168,0.8619,,0.0,0.0,,0.0,0.0,30.1275,70762.1139,71170.6678,281.8993,264.2142,6.6935,D02 20:00,D03 09:00,487.1905,199.5261,563.1214,214.2527,63.0626,73.2848,0.1438,0.99,6.0542,14.0,34.0,52.5,6.0,6.0,23.0,35.54060825580066,11.387415803783018,12.188172043010754,-3819.160416841507,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,
9,21.9352,2,10.25,7,16.9375,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_final,MAPPO grouped tarmac soft router twostage 3f expert routeronly500 temp05 prior1,MAPPO,500.0,42.0,2,45.9919,-1.221,1.221,19.1726,3221.0,128.84,499.0,-4959.2942,-7.3909,1.2954,,,1.2537,1.173,1.133,0.878,,0.0,0.0,,0.0,0.0,29.5412,69986.8381,70851.9125,281.1769,255.3838,10.0998,D02 20:00,D03 09:00,473.1117,199.9171,2932.154,214.5433,62.187,73.1973,0.1356,0.9911,5.7829,7.6667,31.0,54.0,48.0,11.0,15.0,34.67314636765557,2.7310714223693706,11.68279569892473,-3619.059404730797,,,,,results/mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_final,
12,22.4444,9,15.0,8,17.9,mappo_grouped_comm_weighted_default_vt_500_final2,MAPPO grouped comm weighted default,MAPPO,500.0,42.0,2,48.6819,-2.3106,2.3106,18.8452,3166.0,126.64,374.0,-4949.9085,-7.3769,1.2667,,,1.1347,1.1531,1.1266,0.8664,,0.0,0.0,,0.0,0.0,26.6712,68950.1665,70580.9853,275.4191,261.9816,5.1292,D03 05:00,D03 09:00,429.0527,199.7816,2137.5363,213.6672,62.4866,73.1536,0.1925,0.9813,6.0759,35.0,17.0,48.0,45.0,9.0,3.0,36.66032500164419,1.7783862814264213,11.887096774193548,-3580.514144420624,i8t6aug2,2026-04-24T06:16:26.466647Z,30179.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_default_vt_500_final2,wandb/run-20260424_141626-i8t6aug2
16,23.2407,15,19.3333,9,18.3,mappo_grouped_comm_weighted_a090_b010_vt_500_final2,MAPPO grouped comm weighted a090 b010,MAPPO,500.0,42.0,2,49.7543,-1.9492,1.9492,19.6905,3308.0,132.32,425.0,-5248.8381,-7.8224,1.2672,,,1.1734,1.1661,1.0814,0.8795,,0.0,0.0,,0.0,0.0,26.7223,69115.5731,70489.5881,258.1044,263.9114,-2.2004,D03 03:00,D03 09:00,443.1164,201.1833,3542.4925,214.7246,61.7229,72.648,0.1838,0.9835,7.046,43.6667,18.0,17.5,51.0,16.0,5.0,37.570482515248905,0.32531805830566135,19.086021505376344,-5549.838383972645,p583uys0,2026-04-24T06:16:32.389601Z,30141.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_a090_b010_vt_500_final2,wandb/run-20260424_141632-p583uys0
2,17.2407,13,17.5,10,19.075,mappo_grouped_tarmac_hybrid_vt_500_final2,MAPPO grouped tarmac hybrid,MAPPO,500.0,42.0,2,47.0088,-3.5124,3.5124,17.994,3023.0,120.92,410.0,-4715.4554,-7.0275,1.2657,,,1.2147,1.1692,1.1114,0.9059,,0.0,0.0,,0.0,0.0,26.5693,67898.2417,70369.9147,269.488,259.6789,3.7774,D03 04:00,D03 09:00,457.7561,200.7506,606.2907,214.5,60.4573,72.7498,0.1207,0.9931,5.6578,1.6667,15.0,40.0,9.0,28.0,9.0,36.020097231943254,0.8470424825242873,11.0752688172043,-3386.549738764763,,,,,results/mappo_grouped_tarmac_hybrid_vt_500_final2,
